1	angry:4 hate:1
2	angry:5
3	neutral:2 hate:2
4	angry:2 hate:4
5	pleasure:1 angry:2 hate:2
6	surprise:1 angry:4
7	angry:1 anxiety:1 fear:1 hate:3
8	angry:5 hate:1
9	surprise:1 pleasure:3 hope:1
10	sorrow:1 hate:3
11	hope:5
12	angry:5 hate:1
13	angry:3 hope:1
14	angry:1 hope:1 neutral:1 hate:2
15	angry:5 neutral:1
16	pleasure:3 hope:1 hate:1
17	angry:5 hate:1
18	hope:1 hate:3
19	pleasure:3 fear:1
20	sorrow:2 hope:1 hate:2
21	hope:1 shame:1 hate:3
22	sorrow:1 angry:4
23	love:1 pleasure:2 hope:2
24	pleasure:2 hope:2 hate:1
25	angry:3 neutral:1 hate:1
26	anxiety:1 hope:2 shame:1 fear:1 hate:2
27	pleasure:1 regret:1 hope:2
28	pleasure:1 hope:2 neutral:1
29	anxiety:1 hope:4
30	surprise:1 hope:2 neutral:1
31	anxiety:1 angry:2 fear:1
32	angry:1 shame:1 hate:3
33	love:2 pleasure:2 hope:1
34	sorrow:1 angry:1 regret:1 hate:2
35	pleasure:1 anxiety:1 angry:2 neutral:1
36	pleasure:3 hope:2
37	surprise:1 pleasure:3 hope:2
38	angry:3 hope:1
39	angry:3 hate:2
40	pleasure:2 hope:3
41	angry:4 hate:2
42	love:1 pleasure:2 sorrow:1 fear:1 hate:1
43	pleasure:4 hope:1
44	pleasure:3 sorrow:1 regret:1
45	angry:1 fear:1 hate:4
46	angry:5 hate:1
47	pleasure:1 hope:2 neutral:1
48	sorrow:2 hope:1 hate:2
49	surprise:1 angry:2 neutral:1
50	love:2 pleasure:3
51	angry:1 anxiety:1 hope:3
52	pleasure:2 hope:2 neutral:1
53	pleasure:1 hate:4
54	pleasure:1 sorrow:2 hate:2
55	pleasure:5 hope:1
56	pleasure:1 hope:4
57	hope:2 neutral:1 hate:1
58	sorrow:1 hope:1 fear:1 hate:2
59	angry:3 neutral:1 hate:1
60	love:1 pleasure:3 hope:1
61	angry:2 hope:1 hate:2
62	angry:4 hate:1
63	pleasure:2 neutral:1 hate:1
64	pleasure:2 hope:1 hate:2
65	surprise:1 hope:1 regret:1 hate:2
66	pleasure:1 hope:3
67	pleasure:2 hope:1 shame:1 hate:1
68	pleasure:1 hate:4
69	angry:2 hope:1 hate:2
70	angry:1 neutral:1 hate:3
71	pleasure:1 hope:4
72	pleasure:1 surprise:1 sorrow:1 anxiety:1 hate:2
73	surprise:2 pleasure:3 angry:1
74	pleasure:5
